voyageid,departure,purchase,arrival,year,embarked,disembarked
33521.0,Saint-Malo,Zanzibar,"Martinique, port unspecified",1820.0,244.0,200.0
32816.0,Le Havre,"Windward Coast, port unspecified",Port-au-Prince,1791.0,206.0,182.0
31500.0,Bordeaux,"Windward Coast, port unspecified","Martinique, port unspecified",1751.0,196.0,174.0
31529.0,Bordeaux,"Windward Coast, port unspecified",Cap Francais,1765.0,214.0,180.0
31851.0,Dunkerque,"Windward Coast, port unspecified","Martinique, port unspecified",1754.0,196.0,174.0
31859.0,Dunkerque,"Windward Coast, port unspecified",Port-au-Prince,1766.0,304.0,269.0
32094.0,La Rochelle,"Windward Coast, port unspecified",NA,1738.0,196.0,174.0
32095.0,La Rochelle,"Windward Coast, port unspecified",Cul-de-Sac,1739.0,271.0,240.0
32124.0,La Rochelle,"Windward Coast, port unspecified","Saint-Domingue, port unspecified",1741.0,196.0,174.0
32475.0,Le Havre,"Windward Coast, port unspecified",Cayenne,1722.0,89.0,79.0
30037.0,Nantes,"Windward Coast, port unspecified","Martinique, port unspecified",1714.0,183.0,97.0
30569.0,Nantes,"Windward Coast, port unspecified","Martinique, port unspecified",1750.0,196.0,174.0
30593.0,Nantes,"Windward Coast, port unspecified","Martinique, port unspecified",1751.0,151.0,134.0
30605.0,Nantes,"Windward Coast, port unspecified","Martinique, port unspecified",1752.0,271.0,244.0
30633.0,Nantes,"Windward Coast, port unspecified",Cayes (Les),1753.0,144.0,124.0
30824.0,Nantes,"Windward Coast, port unspecified",NA,1765.0,34.0,NA
30850.0,Nantes,"Windward Coast, port unspecified","Martinique, port unspecified",1768.0,101.0,91.0
30938.0,Nantes,"Windward Coast, port unspecified",Cap Francais,1771.0,241.0,201.0
16924.0,Bristol,"Windward Coast, port unspecified","Jamaica, port unspecified",1737.0,196.0,174.0
17163.0,Bristol,"Windward Coast, port unspecified",NA,1747.0,196.0,NA
17362.0,Bristol,"Windward Coast, port unspecified",Newcastle (Nevis),1755.0,196.0,174.0
17455.0,Bristol,"Windward Coast, port unspecified",Upper James River,1760.0,440.0,359.0
17574.0,Bristol,"Windward Coast, port unspecified",Charleston,1765.0,56.0,50.0
17597.0,Bristol,"Windward Coast, port unspecified",Saint John (Antigua),1765.0,196.0,174.0
17602.0,Bristol,"Windward Coast, port unspecified","St. Kitts, port unspecified",1765.0,196.0,174.0
17649.0,Bristol,"Windward Coast, port unspecified","Barbados, port unspecified",1767.0,66.0,58.0
17672.0,Bristol,"Windward Coast, port unspecified","Jamaica, port unspecified",1767.0,196.0,174.0
17674.0,Bristol,"Windward Coast, port unspecified","Dominica, port unspecified",1767.0,196.0,174.0
17720.0,Bristol,"Windward Coast, port unspecified","Barbados, port unspecified",1769.0,296.0,262.0
17731.0,Bristol,"Windward Coast, port unspecified","British Caribbean, colony unspecified",1769.0,196.0,174.0
17768.0,Bristol,"Windward Coast, port unspecified",St. Croix,1771.0,196.0,174.0
17919.0,Bristol,"Windward Coast, port unspecified","St. Vincent, port unspecified",1784.0,359.0,328.0
17996.0,Bristol,"Windward Coast, port unspecified",Black River,1788.0,169.0,154.0
18042.0,Bristol,"Windward Coast, port unspecified","Jamaica, port unspecified",1790.0,359.0,328.0
18238.0,Bristol,"Windward Coast, port unspecified","British Caribbean, colony unspecified",1800.0,359.0,328.0
75321.0,London,"Windward Coast, port unspecified","Jamaica, port unspecified",1724.0,196.0,174.0
75756.0,London,"Windward Coast, port unspecified","St. Kitts, port unspecified",1723.0,237.0,190.0
10463.0,Zeeland,"Windward Coast, port unspecified",Demerara,1792.0,223.0,202.0
10527.0,Zeeland,"Windward Coast, port unspecified",Suriname,1756.0,228.0,212.0
10589.0,Zeeland,"Windward Coast, port unspecified",Curacao,1772.0,269.0,250.0
10591.0,Zeeland,"Windward Coast, port unspecified",Paramaribo,1777.0,303.0,298.0
10625.0,Vlissingen,"Windward Coast, port unspecified",Suriname,1744.0,338.0,271.0
10643.0,Vlissingen,"Windward Coast, port unspecified",Suriname,1743.0,268.0,246.0
10682.0,Vlissingen,"Windward Coast, port unspecified",Essequibo,1779.0,224.0,200.0
10766.0,Vlissingen,"Windward Coast, port unspecified",Suriname,1741.0,308.0,288.0
10809.0,Middelburg,"Windward Coast, port unspecified",Suriname,1767.0,228.0,210.0
10869.0,Vlissingen,"Windward Coast, port unspecified",Suriname,1754.0,220.0,217.0
10936.0,Zeeland,"Windward Coast, port unspecified",Suriname,1754.0,223.0,214.0
10956.0,Zeeland,"Windward Coast, port unspecified",Suriname,1752.0,256.0,245.0
11086.0,Zeeland,"Windward Coast, port unspecified",Suriname,1780.0,310.0,277.0
11179.0,Zeeland,"Windward Coast, port unspecified",Suriname,1771.0,160.0,153.0
11183.0,Zeeland,"Windward Coast, port unspecified",Demerara,1793.0,173.0,170.0
11189.0,Zeeland,"Windward Coast, port unspecified",Essequibo,1766.0,233.0,215.0
11202.0,Vlissingen,"Windward Coast, port unspecified",Suriname,1766.0,278.0,236.0
11782.0,Texel,"Windward Coast, port unspecified",Suriname,1764.0,74.0,64.0
26084.0,Liverpool,"Windward Coast, port unspecified",NA,1728.0,148.0,NA
26279.0,Guernsey,"Windward Coast, port unspecified","Barbados, port unspecified",1739.0,271.0,217.0
27026.0,Lancaster,"Windward Coast, port unspecified","Barbados, port unspecified",1756.0,223.0,191.0
24029.0,Lancaster,"Windward Coast, port unspecified",Charleston,1759.0,248.0,212.0
24042.0,London,"Windward Coast, port unspecified",NA,1728.0,196.0,174.0
24326.0,Liverpool,"Windward Coast, port unspecified",NA,1750.0,271.0,217.0
24512.0,Whitehaven,"Windward Coast, port unspecified",Basse-Terre,1760.0,196.0,174.0
24626.0,Lancaster,"Windward Coast, port unspecified","Grenada, port unspecified",1766.0,196.0,174.0
24781.0,Lancaster,"Windward Coast, port unspecified","Grenada, port unspecified",1775.0,102.0,92.0
24926.0,Poulton,"Windward Coast, port unspecified",Kingston,1756.0,158.0,135.0
24993.0,London,"Windward Coast, port unspecified","Barbados, port unspecified",1755.0,124.0,110.0
81862.0,Liverpool,"Windward Coast, port unspecified",Falmouth (Jam.),1808.0,267.0,240.0
81922.0,London,"Windward Coast, port unspecified",Zion Hill,1789.0,210.0,195.0
82032.0,Liverpool,"Windward Coast, port unspecified",Spanish Town,1796.0,200.0,197.0
81127.0,Liverpool,"Windward Coast, port unspecified","St. Vincent, port unspecified",1792.0,203.0,194.0
82272.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1788.0,96.0,89.0
82273.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1789.0,99.0,92.0
81692.0,Liverpool,"Windward Coast, port unspecified","Martinique, port unspecified",1800.0,193.0,179.0
78307.0,London,"Windward Coast, port unspecified","Americas, port unspecified",1731.0,148.0,131.0
79002.0,Whitehaven,"Windward Coast, port unspecified","Barbados, port unspecified",1768.0,200.0,171.0
79014.0,Lancaster,"Windward Coast, port unspecified","Grenada, port unspecified",1771.0,171.0,151.0
79019.0,Lancaster,"Windward Coast, port unspecified",Charleston,1772.0,139.0,123.0
79029.0,Lancaster,"Windward Coast, port unspecified",NA,1773.0,171.0,NA
79033.0,Lancaster,"Windward Coast, port unspecified","Grenada, port unspecified",1774.0,180.0,160.0
80045.0,Liverpool,"Windward Coast, port unspecified",Demerara,1805.0,270.0,243.0
80046.0,Liverpool,"Windward Coast, port unspecified",Demerara,1806.0,246.0,221.0
80056.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1806.0,183.0,160.0
80071.0,Liverpool,"Windward Coast, port unspecified","St. Vincent, port unspecified",1788.0,305.0,279.0
80283.0,Liverpool,"Windward Coast, port unspecified",NA,1807.0,99.0,NA
80350.0,Liverpool,"Windward Coast, port unspecified",Demerara,1802.0,175.0,161.0
80502.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1793.0,240.0,205.0
75881.0,London,"Windward Coast, port unspecified",Charleston,1764.0,515.0,420.0
